algorithm,batch,build,candidates,count,dataset,distcomps,epsilon,indexsize,k-nn,largeepsilon,parameters,qps,queriessize,rel
faiss-ivf,False,2.7694613933563232,10.0,10,glove-100-angular,1183578.0,1.0,625816.0,1.0,1.0,"FaissIVF(n_list=64, n_probe=100)",17.18408724229412,36418.34396997929,0.9999999999623199
faiss-ivf,False,3.258103609085083,10.0,10,glove-100-angular,11052.4329,0.55851,609968.0,0.5202899999999999,0.8680999999999999,"FaissIVF(n_list=128, n_probe=1)",1512.4177844699798,403.3065507846832,1.0740091509133076
faiss-ivf,False,24.806705474853516,10.0,10,glove-100-angular,57187.3695,0.9397399999999999,641968.0,0.90377,0.99979,"FaissIVF(n_list=1024, n_probe=50)",313.49423640316,2047.7824644100187,1.0071287320523938
faiss-ivf,False,568.9988639354706,10.0,10,glove-100-angular,15705.4101,0.84494,655728.0,0.8013,0.99908,"FaissIVF(n_list=8192, n_probe=50)",1134.8575452505174,577.8064416492463,1.016630804895067
faiss-ivf,False,5.086498737335205,10.0,10,glove-100-angular,222416.1199,0.98573,632292.0,0.96513,0.9999800000000001,"FaissIVF(n_list=256, n_probe=50)",87.43864171209445,7231.265120539285,1.0025487436741407
faiss-ivf,False,3.258103609085083,10.0,10,glove-100-angular,95795.1395,0.92104,609968.0,0.8839,0.99853,"FaissIVF(n_list=128, n_probe=10)",202.00368119005432,3019.5885362411495,1.009825243796047
faiss-ivf,False,66.28255486488342,10.0,10,glove-100-angular,56446.9002,0.95131,648248.0,0.91792,0.9998699999999999,"FaissIVF(n_list=2048, n_probe=100)",380.43295919698727,1703.974338522911,1.0058088778090546
faiss-ivf,False,246.02279615402222,10.0,10,glove-100-angular,57328.857,0.96111,654676.0,0.92953,0.9999800000000001,"FaissIVF(n_list=4096, n_probe=200)",318.9198837184069,2052.7914169755936,1.0046701548234196
faiss-ivf,False,3.258103609085083,10.0,10,glove-100-angular,1183642.0,1.0,609968.0,1.0,1.0,"FaissIVF(n_list=128, n_probe=200)",17.64257909912589,34573.62988556595,0.9999999999547541
faiss-ivf,False,246.02279615402222,10.0,10,glove-100-angular,18515.8523,0.8765700000000001,654676.0,0.83485,0.9994400000000001,"FaissIVF(n_list=4096, n_probe=50)",907.723402315384,721.2285133666038,1.013275529092805
faiss-ivf,False,66.28255486488342,10.0,10,glove-100-angular,107759.9167,0.98045,648248.0,0.95601,0.99999,"FaissIVF(n_list=2048, n_probe=200)",198.5899873403561,3264.253191622353,1.0029650461221258
faiss-ivf,False,9.41495394706726,10.0,10,glove-100-angular,3184.9903,0.47395,640472.0,0.43989,0.80177,"FaissIVF(n_list=512, n_probe=1)",4897.226985664682,130.78258407764434,1.093317151850742
faiss-ivf,False,9.430783748626709,10.0,10,glove-100-angular,24432.6344,0.84306,636680.0,0.80024,0.99712,"FaissIVF(n_list=512, n_probe=10)",701.6534031889023,907.3995752124787,1.0185725992731545
faiss-ivf,False,2.4154410362243652,10.0,10,glove-100-angular,199100.6075,0.9309499999999999,609356.0,0.89305,0.99755,"FaissIVF(n_list=32, n_probe=5)",98.40487406761864,6192.335550181007,1.0095708416217248
faiss-ivf,False,3.258103609085083,10.0,10,glove-100-angular,50472.2795,0.84992,609968.0,0.8084,0.9939199999999999,"FaissIVF(n_list=128, n_probe=5)",371.1679312629115,1643.3747331687928,1.0187642024717825
faiss-ivf,False,246.02279615402222,10.0,10,glove-100-angular,4437.1917,0.35427,654676.0,0.32969,0.66483,"FaissIVF(n_list=4096, n_probe=1)",5472.305019882311,119.63441321735381,1.1294552521698547
faiss-ivf,False,568.9988639354706,10.0,10,glove-100-angular,8371.4497,0.32025000000000003,655728.0,0.29855,0.60961,"FaissIVF(n_list=8192, n_probe=1)",2960.8171940843013,221.46858688545225,1.1449334742843713
faiss-ivf,False,24.806705474853516,10.0,10,glove-100-angular,109928.9438,0.9745100000000001,641968.0,0.9468400000000001,0.9999399999999999,"FaissIVF(n_list=1024, n_probe=100)",168.2338259192169,3815.9270080932615,1.0036409007494307
faiss-ivf,False,9.430783748626709,10.0,10,glove-100-angular,215223.4737,0.98955,636680.0,0.9714,0.99996,"FaissIVF(n_list=512, n_probe=100)",87.88545860528025,7244.429398263931,1.0019831149983556
faiss-ivf,False,568.9988639354706,10.0,10,glove-100-angular,9839.7727,0.67707,655728.0,0.63495,0.9611700000000001,"FaissIVF(n_list=8192, n_probe=10)",2152.848670891946,304.58620193138125,1.0412650229689384
faiss-ivf,False,66.28255486488342,10.0,10,glove-100-angular,2729.8164,0.39518,648248.0,0.36817,0.7172799999999999,"FaissIVF(n_list=2048, n_probe=1)",7566.822339955897,85.6697793176651,1.115177099172948
faiss-ivf,False,5.086498737335205,10.0,10,glove-100-angular,47560.1296,0.8829,632292.0,0.8426899999999999,0.9978400000000001,"FaissIVF(n_list=256, n_probe=10)",397.76361148189187,1589.6175058456422,1.0140276620378508
faiss-ivf,False,66.28255486488342,10.0,10,glove-100-angular,5259.2688,0.6756599999999999,648248.0,0.63384,0.95733,"FaissIVF(n_list=2048, n_probe=5)",3999.9675753360843,162.06331371212005,1.043681082576009
faiss-ivf,False,24.806705474853516,10.0,10,glove-100-angular,7378.1962,0.71904,641968.0,0.67564,0.97209,"FaissIVF(n_list=1024, n_probe=5)",2152.018353528721,298.3097234962463,1.0367418294327142
faiss-ivf,False,5.086498737335205,10.0,10,glove-100-angular,929589.7491,0.9999100000000001,632292.0,0.99968,1.0,"FaissIVF(n_list=256, n_probe=200)",21.10690941561664,29956.635883990573,1.0000286251435029
faiss-ivf,False,24.806705474853516,10.0,10,glove-100-angular,216430.9182,0.99284,641968.0,0.9780300000000001,1.0,"FaissIVF(n_list=1024, n_probe=200)",85.20407300635868,7534.475493349839,1.0015578920295758
faiss-ivf,False,568.9988639354706,10.0,10,glove-100-angular,35734.1452,0.9390599999999999,655728.0,0.90242,0.99997,"FaissIVF(n_list=8192, n_probe=200)",501.10302774994403,1308.5692236671448,1.006634434553959
faiss-ivf,False,2.7694613933563232,10.0,10,glove-100-angular,99925.6476,0.89362,625816.0,0.85328,0.9967900000000001,"FaissIVF(n_list=64, n_probe=5)",190.08485994047584,3292.2979778398517,1.0136782655668848
faiss-ivf,False,246.02279615402222,10.0,10,glove-100-angular,5722.8441,0.6287,654676.0,0.5883,0.93259,"FaissIVF(n_list=4096, n_probe=5)",3643.1073262060186,179.70263881349564,1.0514919666304985
faiss-ivf,False,66.28255486488342,10.0,10,glove-100-angular,30260.5068,0.90884,648248.0,0.86981,0.9995799999999999,"FaissIVF(n_list=2048, n_probe=50)",720.8882459458046,899.2350806739807,1.010118303596364
faiss-ivf,False,2.4154410362243652,10.0,10,glove-100-angular,1183546.0,1.0,609356.0,1.0,1.0,"FaissIVF(n_list=32, n_probe=200)",18.36014774111347,33189.05754965592,0.9999999999547541
rpforest,False,533.4431235790253,10.0,10,glove-100-angular,0.0,0.08481999999999999,1850472.0,0.08101,0.17979,"RPForest(leaf_size=10, n_trees=40)",1890.8427182631258,978.6493514911651,1.2827740593495114
rpforest,False,579.2833166122437,10.0,10,glove-100-angular,0.0,0.04106,4179164.0,0.03933,0.07671,"RPForest(leaf_size=3, n_trees=40)",2696.8992407563633,1549.6181454772948,1.425967363203238
rpforest,False,473.5697772502899,10.0,10,glove-100-angular,0.0,0.2217,1233044.0,0.20693,0.56414,"RPForest(leaf_size=100, n_trees=40)",505.03695707931684,2441.4926129977225,1.141930015856094
rpforest,False,313.76519680023193,10.0,10,glove-100-angular,0.0,0.39187,1204372.0,0.36128,0.9088800000000001,"RPForest(leaf_size=400, n_trees=40)",195.46385142942108,6161.609889462757,1.0794643980989445
rpforest,False,3235.0397458076477,10.0,10,glove-100-angular,0.0,0.9790800000000001,3394172.0,0.9429399999999999,1.0,"RPForest(leaf_size=400, n_trees=400)",24.14499012040654,140574.5864079422,1.0030355387202992
rpforest,False,128.1456651687622,10.0,10,glove-100-angular,0.0,0.02498,1173680.0,0.02391,0.04872,"RPForest(leaf_size=10, n_trees=10)",7377.966738230454,159.07905817985534,1.4831581806060679
rpforest,False,492.9594600200653,10.0,10,glove-100-angular,0.0,0.16338999999999998,1323284.0,0.15383,0.39116,"RPForest(leaf_size=40, n_trees=40)",825.338665886174,1603.322435620022,1.1820015409225186
rpforest,False,1407.7394864559174,10.0,10,glove-100-angular,0.0,0.08819,9033292.0,0.08395,0.17561,"RPForest(leaf_size=3, n_trees=100)",878.2376200137062,10285.703770989703,1.2929797316976106
rpforest,False,1107.362205505371,10.0,10,glove-100-angular,0.0,0.67347,1567952.0,0.61693,0.99788,"RPForest(leaf_size=400, n_trees=100)",74.25941012894165,21114.522688470843,1.031812802344786
rpforest,False,1259.8981847763062,10.0,10,glove-100-angular,0.0,0.1736,3202852.0,0.16405,0.38722,"RPForest(leaf_size=10, n_trees=100)",775.358805296023,4130.799802779293,1.1819848869471274
rpforest,False,121.5480146408081,10.0,10,glove-100-angular,0.0,0.05,1048724.0,0.04733,0.11247,"RPForest(leaf_size=40, n_trees=10)",3520.5573392088972,297.8857887983322,1.3409268362335354
rpforest,False,43.66837191581726,7.0886,10,glove-100-angular,0.0,0.0036200000000000004,1185948.0,0.00354,0.0064199999999999995,"RPForest(leaf_size=3, n_trees=3)",18555.919657010236,63.91211117105484,inf
rpforest,False,4465.437427282333,10.0,10,glove-100-angular,0.0,0.24571,21940404.0,0.23152,0.52954,"RPForest(leaf_size=3, n_trees=400)",28.15267498635602,779336.386706885,1.1427149800510175
rpforest,False,111.55825901031494,10.0,10,glove-100-angular,0.0,0.13252,1018572.0,0.1234,0.36685,"RPForest(leaf_size=400, n_trees=10)",540.374725931729,1884.9364174901964,1.1941281208946906
rpforest,False,1239.8188028335571,10.0,10,glove-100-angular,0.0,0.31956,1881500.0,0.29684,0.7597400000000001,"RPForest(leaf_size=40, n_trees=100)",356.472007310801,5278.1143018603325,1.1035665180003205
rpforest,False,3629.441775560379,10.0,10,glove-100-angular,0.0,0.8189299999999999,3727108.0,0.75808,0.9999399999999999,"RPForest(leaf_size=100, n_trees=400)",74.16877843006696,50251.71074530039,1.0160992896800456
rpforest,False,125.87466287612915,10.0,10,glove-100-angular,0.0,0.06952,1028180.0,0.06544,0.1683,"RPForest(leaf_size=100, n_trees=10)",1899.6280142123906,541.253336078167,1.2840347138699126
rpforest,False,113.58579874038696,10.0,10,glove-100-angular,0.0,0.0118,1752484.0,0.01139,0.02105,"RPForest(leaf_size=3, n_trees=10)",11100.605910472188,157.87282371196747,1.7000742212995066
rpforest,False,31.016916751861572,10.0,10,glove-100-angular,0.0,0.02282,979160.0,0.02154,0.054459999999999995,"RPForest(leaf_size=100, n_trees=3)",6771.917083772424,144.59125649166106,1.4445442416071008
rpforest,False,40.20552158355713,10.0,10,glove-100-angular,0.0,0.00866,1014820.0,0.00827,0.01629,"RPForest(leaf_size=10, n_trees=3)",15440.77947828379,65.72336593675614,1.7126720490751024
rpforest,False,4273.9282422065735,10.0,10,glove-100-angular,0.0,0.44182,9970896.0,0.41102999999999995,0.9127700000000001,"RPForest(leaf_size=10, n_trees=400)",216.01157783460155,46159.08137865944,1.071159379369228
rpforest,False,3685.650335073471,10.0,10,glove-100-angular,0.0,0.69042,4649260.0,0.6368199999999999,0.99892,"RPForest(leaf_size=40, n_trees=400)",128.3656525070578,36218.87872025871,1.0291285858259802
rpforest,False,890.72887134552,10.0,10,glove-100-angular,0.0,0.41837,1649768.0,0.38705,0.9187200000000001,"RPForest(leaf_size=100, n_trees=100)",255.78920028570448,6449.717181793785,1.0745847046788397
rpforest,False,38.5319983959198,10.0,10,glove-100-angular,0.0,0.01586,985544.0,0.015290000000000002,0.034820000000000004,"RPForest(leaf_size=40, n_trees=3)",9297.34541678969,106.0027304374695,1.517400208362166
rpforest,False,37.883056640625,10.0,10,glove-100-angular,0.0,0.0454,979660.0,0.04229,0.12065,"RPForest(leaf_size=400, n_trees=3)",1742.006807538314,562.3743809499741,1.3286167680304686
annoy,False,1634.0618193149567,10.0,10,glove-100-angular,0.0,0.9993399999999999,7604988.0,0.99556,1.0,"Annoy(n_trees=400, search_k=200000)",30.766395311006015,247184.8886788333,1.0002881173337204
annoy,False,741.9470663070679,10.0,10,glove-100-angular,0.0,0.9988699999999999,4504844.0,0.99393,1.0,"Annoy(n_trees=200, search_k=200000)",31.104558328815397,144829.0617850276,1.0003596174978784
annoy,False,1634.0618193149567,10.0,10,glove-100-angular,0.0,0.9758699999999999,7604988.0,0.9456200000000001,1.0,"Annoy(n_trees=400, search_k=40000)",109.55843986527304,69414.89865456334,1.0031789723606197
annoy,False,505.24572563171387,10.0,10,glove-100-angular,0.0,0.17835,2705704.0,0.16747,0.38319000000000003,"Annoy(n_trees=100, search_k=100)",5258.63882590152,514.5255435062409,1.2113932720702096
annoy,False,1634.0618193149567,10.0,10,glove-100-angular,0.0,0.53179,7604988.0,0.49483,0.89375,"Annoy(n_trees=400, search_k=1000)",1141.390819703038,6662.913235957717,1.0650484030001128
annoy,False,505.24572563171387,10.0,10,glove-100-angular,0.0,0.95785,2705704.0,0.9208299999999999,0.9999800000000001,"Annoy(n_trees=100, search_k=40000)",107.99063732906738,25054.986866641237,1.0048919692724045
annoy,False,741.9470663070679,10.0,10,glove-100-angular,0.0,0.61326,4504844.0,0.57196,0.95835,"Annoy(n_trees=200, search_k=2000)",1166.9554955043336,3860.339162337207,1.0484229746893379
annoy,False,1634.0618193149567,10.0,10,glove-100-angular,0.0,0.28254,7604988.0,0.26397,0.5731900000000001,"Annoy(n_trees=400, search_k=200)",1979.0710242016617,3842.705949912929,1.1466489083437061
annoy,False,505.24572563171387,10.0,10,glove-100-angular,0.0,0.99982,2705704.0,0.99795,1.0,"Annoy(n_trees=100, search_k=400000)",16.796329201414395,161089.00745837708,1.000120669889223
annoy,False,505.24572563171387,10.0,10,glove-100-angular,0.0,0.9004300000000001,2705704.0,0.8549599999999999,0.9998900000000001,"Annoy(n_trees=100, search_k=20000)",198.40599480613216,13637.208909155272,1.01019332017812
annoy,False,505.24572563171387,10.0,10,glove-100-angular,0.0,0.99175,2705704.0,0.97406,1.0,"Annoy(n_trees=100, search_k=100000)",49.778823934505425,54354.51837029991,1.0014961595431506
annoy,False,741.9470663070679,10.0,10,glove-100-angular,0.0,0.35097,4504844.0,0.32688,0.69201,"Annoy(n_trees=200, search_k=400)",2659.0521261333993,1694.1540768328666,1.115496196641426
annoy,False,741.9470663070679,10.0,10,glove-100-angular,0.0,0.49790999999999996,4504844.0,0.46299999999999997,0.8698,"Annoy(n_trees=200, search_k=1000)",1761.8812402526491,2556.8374854561803,1.072521995703178
annoy,False,1634.0618193149567,10.0,10,glove-100-angular,0.0,0.8701000000000001,7604988.0,0.8242,0.99983,"Annoy(n_trees=400, search_k=10000)",300.0031571720499,25349.693222190286,1.0127720453673326
annoy,False,741.9470663070679,10.0,10,glove-100-angular,0.0,0.7247899999999999,4504844.0,0.67839,0.9933400000000001,"Annoy(n_trees=200, search_k=4000)",747.0363605259616,6030.28746395731,1.0306334563897726
annoy,False,1634.0618193149567,10.0,10,glove-100-angular,0.0,0.9999,7604988.0,0.9989699999999999,1.0,"Annoy(n_trees=400, search_k=400000)",18.446166541516035,412280.13326691824,1.000071353044596
annoy,False,1634.0618193149567,10.0,10,glove-100-angular,0.0,0.75125,7604988.0,0.70469,0.9955999999999999,"Annoy(n_trees=400, search_k=4000)",536.7128075705161,14169.566838594246,1.0267515891065262
annoy,False,741.9470663070679,10.0,10,glove-100-angular,0.0,0.96723,4504844.0,0.9347300000000001,1.0,"Annoy(n_trees=200, search_k=40000)",119.29043286606735,37763.66546559344,1.00398827789641
annoy,False,505.24572563171387,10.0,10,glove-100-angular,0.0,0.46274,2705704.0,0.43072999999999995,0.8435499999999999,"Annoy(n_trees=100, search_k=1000)",1897.6441329087095,1425.8226571979521,1.0804992785552952
annoy,False,505.24572563171387,10.0,10,glove-100-angular,0.0,0.99839,2705704.0,0.9919499999999999,1.0,"Annoy(n_trees=100, search_k=200000)",28.637029653528874,94482.70413291913,1.0004914755124967
annoy,False,1634.0618193149567,10.0,10,glove-100-angular,0.0,0.64542,7604988.0,0.60233,0.9696999999999999,"Annoy(n_trees=400, search_k=2000)",809.5700691558981,9393.860136071205,1.0428364727000063
annoy,False,741.9470663070679,10.0,10,glove-100-angular,0.0,0.9944900000000001,4504844.0,0.98049,1.0,"Annoy(n_trees=200, search_k=100000)",55.07138144555609,81800.09075046568,1.001153880855384
annoy,False,1634.0618193149567,10.0,10,glove-100-angular,0.0,0.93603,7604988.0,0.8949999999999999,1.0,"Annoy(n_trees=400, search_k=20000)",187.90311177703617,40472.92207179622,1.0065742186675142
annoy,False,1634.0618193149567,10.0,10,glove-100-angular,0.0,0.99581,7604988.0,0.9841599999999999,1.0,"Annoy(n_trees=400, search_k=100000)",52.597805955149944,144587.55193105887,1.0009202623839741
annoy,False,741.9470663070679,10.0,10,glove-100-angular,0.0,0.9997999999999999,4504844.0,0.9986200000000001,1.0,"Annoy(n_trees=200, search_k=400000)",17.223205894347284,261556.64791062535,1.0000895291572922
annoy,False,1634.0618193149567,10.0,10,glove-100-angular,0.0,0.37943,7604988.0,0.35381,0.72356,"Annoy(n_trees=400, search_k=400)",1623.1483653634873,4685.33139809246,1.106580992085738
annoy,False,505.24572563171387,10.0,10,glove-100-angular,0.0,0.57656,2705704.0,0.5363,0.94353,"Annoy(n_trees=100, search_k=2000)",1201.5966612587276,2251.7572553552627,1.0550713302163763
annoy,False,741.9470663070679,10.0,10,glove-100-angular,0.0,0.9198000000000001,4504844.0,0.87636,0.99993,"Annoy(n_trees=200, search_k=20000)",217.13451595974962,20746.789058792783,1.008257514472135
annoy,False,505.24572563171387,10.0,10,glove-100-angular,0.0,0.68955,2705704.0,0.64348,0.98918,"Annoy(n_trees=100, search_k=4000)",729.208088038836,3710.468992845154,1.0353750868916396
annoy,False,1634.0618193149567,10.0,10,glove-100-angular,0.0,0.21447,7604988.0,0.2011,0.446,"Annoy(n_trees=400, search_k=100)",2267.7114540378097,3353.5959729174615,1.1875850284379779
annoy,False,505.24572563171387,10.0,10,glove-100-angular,0.0,0.32194,2705704.0,0.30045,0.65053,"Annoy(n_trees=100, search_k=400)",3188.047012760309,848.7026662939071,1.1260227158598621
annoy,False,741.9470663070679,10.0,10,glove-100-angular,0.0,0.25875,4504844.0,0.24176999999999998,0.53801,"Annoy(n_trees=200, search_k=200)",3477.8271010058934,1295.3041853912353,1.15693179812554
annoy,False,741.9470663070679,10.0,10,glove-100-angular,0.0,0.19616,4504844.0,0.18366,0.41475,"Annoy(n_trees=200, search_k=100)",4259.89920594287,1057.500138434124,1.1990852735823716
annoy,False,741.9470663070679,10.0,10,glove-100-angular,0.0,0.8487500000000001,4504844.0,0.8013999999999999,0.99963,"Annoy(n_trees=200, search_k=10000)",371.64608622567306,12121.327701173592,1.0149803568667088
annoy,False,505.24572563171387,10.0,10,glove-100-angular,0.0,0.23649,2705704.0,0.22122000000000003,0.50095,"Annoy(n_trees=100, search_k=200)",4291.448665143112,630.4873275024414,1.1681686665408795
annoy,False,505.24572563171387,10.0,10,glove-100-angular,0.0,0.82046,2705704.0,0.77137,0.99903,"Annoy(n_trees=100, search_k=10000)",355.7475567261936,7605.68540484028,1.018446649990523
hnsw(faiss),False,3362.593006134033,10.0,10,glove-100-angular,0.0,0.97303,609320.0,0.94601,1.0,"faiss ({'M': 12, 'efConstruction': 500}, ef: 800)",220.71707548401537,2760.638245427132,1.0039599655554783
hnsw(faiss),False,3362.593006134033,10.0,10,glove-100-angular,0.0,0.81318,609320.0,0.7727,0.98891,"faiss ({'M': 12, 'efConstruction': 500}, ef: 80)",1882.5511467873232,323.66716890525817,1.0230304536877697
hnsw(faiss),False,5811.8405418396,10.0,10,glove-100-angular,0.0,0.96247,720176.0,0.93191,1.0,"faiss ({'M': 24, 'efConstruction': 500}, ef: 200)",611.014318346387,1178.6565034172058,1.004197172919472
hnsw(faiss),False,3362.593006134033,10.0,10,glove-100-angular,0.0,0.96343,609320.0,0.93361,1.0,"faiss ({'M': 12, 'efConstruction': 500}, ef: 600)",297.7797915465351,2046.2100427818302,1.0048162727346983
hnsw(faiss),False,3362.593006134033,10.0,10,glove-100-angular,0.0,0.6965399999999999,609320.0,0.65654,0.9416499999999999,"faiss ({'M': 12, 'efConstruction': 500}, ef: 40)",3032.9141336064545,200.90248953914642,1.045155236453072
hnsw(faiss),False,5811.8405418396,10.0,10,glove-100-angular,0.0,0.66791,720176.0,0.62501,0.95342,"faiss ({'M': 24, 'efConstruction': 500}, ef: 20)",3346.734728497671,215.18765555801392,1.043369151977282
hnsw(faiss),False,3983.7303519248962,10.0,10,glove-100-angular,0.0,0.96867,646320.0,0.9402799999999999,1.0,"faiss ({'M': 16, 'efConstruction': 500}, ef: 400)",352.72334955118026,1832.370895837784,1.0039141531015696
hnsw(faiss),False,3983.7303519248962,10.0,10,glove-100-angular,0.0,0.9819599999999999,646320.0,0.9582499999999999,1.0,"faiss ({'M': 16, 'efConstruction': 500}, ef: 600)",238.3394321227356,2711.762775650024,1.0026460308339347
hnsw(faiss),False,2608.012042760849,10.0,10,glove-100-angular,0.0,0.8416,572568.0,0.8021900000000001,0.9912699999999999,"faiss ({'M': 8, 'efConstruction': 500}, ef: 200)",981.0760084655531,583.612273727417,1.020696681238279
